run_id,seed,arm,step,layer_name,stage,k,topk_overlap_fg_vs_bg,n_dead
rigl_seed0,0,rigl,3125,stage0.conv1,0,2488,0.7447749196141479,19354
rigl_seed0,0,rigl,3125,stage1.conv0,1,4977,0.5469158127385976,38707
rigl_seed0,0,rigl,3125,stage1.conv1,1,9953,0.708329146990857,77414
rigl_seed0,0,rigl,3125,stage2.conv0,2,19906,0.5423490404903044,154829
rigl_seed0,0,rigl,3125,stage2.conv1,2,39813,0.5166402933715118,309658
rigl_seed0,0,rigl,3125,stage3.conv0,3,79626,0.40018335719488607,619315
rigl_seed0,0,rigl,3125,stage3.conv1,3,159253,0.3982154182338794,1238630
rigl_seed0,0,rigl,3125,stage4.conv0,4,199066,0.35781097726382205,1548288
rigl_seed0,0,rigl,3125,stage4.conv1,4,248832,0.3803168402777778,1935360
rigl_seed0,0,rigl,3125,stage5.conv0,5,248832,0.27961033950617287,1935360
rigl_seed0,0,rigl,3125,stage5.conv1,5,248832,0.33039158950617287,1935360
rigl_seed0,0,rigl,9375,stage0.conv1,0,2488,0.6507234726688103,19354
rigl_seed0,0,rigl,9375,stage1.conv0,1,4977,0.7500502310628893,38707
rigl_seed0,0,rigl,9375,stage1.conv1,1,9953,0.6784888978197529,77414
rigl_seed0,0,rigl,9375,stage2.conv0,2,19906,0.46277504270069325,154829
rigl_seed0,0,rigl,9375,stage2.conv1,2,39813,0.42360535503478763,309658
rigl_seed0,0,rigl,9375,stage3.conv0,3,79626,0.3491949865621782,619315
rigl_seed0,0,rigl,9375,stage3.conv1,3,159253,0.3287347805064897,1238630
rigl_seed0,0,rigl,9375,stage4.conv0,4,199066,0.3147247646509198,1548288
rigl_seed0,0,rigl,9375,stage4.conv1,4,248832,0.32769900977366256,1935360
rigl_seed0,0,rigl,9375,stage5.conv0,5,248832,0.2618352944958848,1935360
rigl_seed0,0,rigl,9375,stage5.conv1,5,248832,0.3107839827674897,1935360
rigl_seed0,0,rigl,15625,stage0.conv1,0,2488,0.8858520900321544,19354
rigl_seed0,0,rigl,15625,stage1.conv0,1,4977,0.8147478400642958,38707
rigl_seed0,0,rigl,15625,stage1.conv1,1,9953,0.7871998392444489,77414
rigl_seed0,0,rigl,15625,stage2.conv0,2,19906,0.5733447201848689,154829
rigl_seed0,0,rigl,15625,stage2.conv1,2,39813,0.5389194484213699,309658
rigl_seed0,0,rigl,15625,stage3.conv0,3,79626,0.377351618817974,619315
rigl_seed0,0,rigl,15625,stage3.conv1,3,159253,0.37336188329262243,1238630
rigl_seed0,0,rigl,15625,stage4.conv0,4,199066,0.3020154119739182,1548288
rigl_seed0,0,rigl,15625,stage4.conv1,4,248832,0.27190232767489714,1935360
rigl_seed0,0,rigl,15625,stage5.conv0,5,248832,0.23968380272633744,1935360
rigl_seed0,0,rigl,15625,stage5.conv1,5,248832,0.25560217335390945,1935360
rigl_seed0,0,rigl,21875,stage0.conv1,0,2488,0.5502411575562701,19354
rigl_seed0,0,rigl,21875,stage1.conv0,1,4977,0.5772553747237291,38707
rigl_seed0,0,rigl,21875,stage1.conv1,1,9953,0.4276097658997287,77414
rigl_seed0,0,rigl,21875,stage2.conv0,2,19906,0.41294082186275494,154829
rigl_seed0,0,rigl,21875,stage2.conv1,2,39813,0.4099665938261372,309658
rigl_seed0,0,rigl,21875,stage3.conv0,3,79626,0.48631100394343557,619315
rigl_seed0,0,rigl,21875,stage3.conv1,3,159253,0.4778748281037092,1238630
rigl_seed0,0,rigl,21875,stage4.conv0,4,199066,1.0,1548288
rigl_seed0,0,rigl,21875,stage4.conv1,4,248832,0.6651917759773662,1935360
rigl_seed0,0,rigl,21875,stage5.conv0,5,248832,1.0,1935360
rigl_seed0,0,rigl,21875,stage5.conv1,5,248832,1.0,1935360
